 Gain Amp Loss LOH
B09006591 1p 0 0 0 0
B09006591 2p 0 0 0 1
B09006591 3p 0 0 0 0
B09006591 4p 0 0 0 0
B09006591 5p 0 0 0 0
B09006591 6p 0 0 0 0
B09006591 7p 0 0 0 0
B09006591 8p 0 0 0 0
B09006591 9p 0 0 0 0
B09006591 10p 0 0 0 0
B09006591 11p 0 0 0 0
B09006591 12p 0 0 0 0
B09006591 16p 0 0 0 1
B09006591 17p 0 0 0 0
B09006591 18p 0 0 0 0
B09006591 19p 0 0 0 0
B09006591 20p 0 0 0 0
B09006591 21p 0 0 0 0
B09006591 Yp 0 0 0 0
B09006591 Xp 0 0 0 1
B09006591 1q 0 0 0 0
B09006591 2q 0 0 0 0
B09006591 3q 1 0 0 0
B09006591 4q 0 0 0 0
B09006591 5q 0 0 0 0
B09006591 6q 1 0 0 0
B09006591 7q 0 0 0 0
B09006591 8q 0 0 0 0
B09006591 9q 0 0 0 0
B09006591 10q 0 0 0 0
B09006591 11q 0 0 0 0
B09006591 12q 0 0 0 0
B09006591 13q 0 0 0 0
B09006591 14q 0 0 0 0
B09006591 15q 1 0 0 0
B09006591 16q 0 0 0 0
B09006591 17q 0 0 0 1
B09006591 18q 0 0 0 0
B09006591 19q 0 0 0 0
B09006591 20q 0 0 0 0
B09006591 21q 0 0 0 0
B09006591 22q 0 0 1 0
B09006591 Yq 0 0 0 0
B09006591 Xq 0 0 0 2
B09009971 1p 5 0 2 0
B09009971 2p 2 0 0 0
B09009971 3p 5 0 1 1
B09009971 4p 0 0 0 1
B09009971 5p 0 0 0 0
B09009971 6p 1 0 1 0
B09009971 7p 5 0 0 0
B09009971 8p 11 2 0 0
B09009971 9p 1 0 0 0
B09009971 10p 0 0 1 0
B09009971 11p 0 0 1 1
B09009971 12p 8 2 0 0
B09009971 16p 4 0 0 0
B09009971 17p 2 0 0 0
B09009971 18p 5 2 0 0
B09009971 19p 4 0 0 0
B09009971 20p 2 0 0 0
B09009971 21p 0 0 0 0
B09009971 Yp 0 0 0 0
B09009971 Xp 0 0 1 0
B09009971 1q 2 0 0 0
B09009971 2q 1 0 0 0
B09009971 3q 1 0 1 0
B09009971 4q 0 0 1 0
B09009971 5q 1 0 1 0
B09009971 6q 0 0 0 0
B09009971 7q 2 0 0 1
B09009971 8q 21 6 0 0
B09009971 9q 1 0 0 0
B09009971 10q 0 0 1 0
B09009971 11q 0 0 1 1
B09009971 12q 8 0 0 0
B09009971 13q 7 0 0 0
B09009971 14q 0 0 0 0
B09009971 15q 4 0 3 0
B09009971 16q 3 0 0 0
B09009971 17q 3 0 0 0
B09009971 18q 5 1 0 0
