Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
true	F16000981.OSCHP	7.0	Gain	9	q34.13	110.648	21	1	NUP214	1	NUP214 (114350)	Cytoregions Not Set				false	arr[hg19] 9q34.13(134,021,102-134,131,750)x7	chr9:134021102-134131750
true	F16000981.OSCHP	7.0	Gain	12	q11	513.152	30	0		0		Cytoregions Not Set				false	arr[hg19] 12q11q12(37,902,987-38,416,139)x7	chr12:37902987-38416139
true	F16000981.OSCHP	6.0	Gain	11	q23.3	84.698	35	1	CBL	1	CBL (165360)	Cytoregions Not Set				false	arr[hg19] 11q23.3(119,085,782-119,170,480)x6	chr11:119085782-119170480
true	F16000981.OSCHP	6.0	Gain	12	p11.1	253.755	20	0		0		Cytoregions Not Set				false	arr[hg19] 12p11.1(34,574,456-34,828,211)x6	chr12:34574456-34828211
true	F16000981.OSCHP	5.0	Gain	3	p21.1	124.473	25	1	PBRM1	1	PBRM1 (606083)	Cytoregions Not Set				false	arr[hg19] 3p21.1(52,584,786-52,709,259)x5	chr3:52584786-52709259
true	F16000981.OSCHP	5.0	Gain	5	q35.2	146.679	30	1	NSD1	1	NSD1 (606681)	Cytoregions Not Set				false	arr[hg19] 5q35.2q35.3(176,574,087-176,720,766)x5	chr5:176574087-176720766
true	F16000981.OSCHP	5.0	Gain	12	q13.13	142.69	31	0		0		Cytoregions Not Set				false	arr[hg19] 12q13.13(54,175,872-54,318,562)x5	chr12:54175872-54318562
true	F16000981.OSCHP	5.0	Gain	15	q24.1	219.103	27	3	ARID3B, CLK3, EDC3	3	ARID3B (612457), CLK3 (602990), EDC3 (609842)	Cytoregions Not Set				false	arr[hg19] 15q24.1(74,783,369-75,002,472)x5	chr15:74783369-75002472
true	F16000981.OSCHP	4.0	Gain	1	p36.22	124.33	59	3	MTOR, MTOR-AS1, ANGPTL7	1	MTOR (601231)	Cytoregions Not Set				false	arr[hg19] 1p36.22(11,177,170-11,301,500)x4	chr1:11177170-11301500
true	F16000981.OSCHP	4.0	Gain	3	p21.31	123.673	26	1	SETD2	1	SETD2 (612778)	Cytoregions Not Set				false	arr[hg19] 3p21.31(47,063,909-47,187,582)x4	chr3:47063909-47187582
true	F16000981.OSCHP	4.0	Gain	5	p12	507.91	34	0		0		Cytoregions Not Set				false	arr[hg19] 5p12p11(45,893,361-46,401,271)x4	chr5:45893361-46401271
true	F16000981.OSCHP	4.0	Gain	7	q11.1	1362.749	31	0		0		Cytoregions Not Set				false	arr[hg19] 7q11.1q11.21(61,064,517-62,427,266)x4	chr7:61064517-62427266
true	F16000981.OSCHP	4.0	Gain	9	q34.11	1514.828	167	19	LINC00963, C9orf50, NTMT1, ASB6, PRRX2, PTGES, TOR1B, TOR1A, C9orf78, USP20, FNBP1, GPR107, NCS1, ASS1, LOC100272217, FUBP3, PRDM12, EXOSC2, ABL1	13	NTMT1 (613560), ASB6 (615051), PRRX2 (604675), PTGES (605172), TOR1B (608050), TOR1A (605204), USP20 (615143), FNBP1 (606191), NCS1 (603315), ASS1 (603470), FUBP3 (603536), EXOSC2 (602238), ABL1 (189980)	Cytoregions Not Set				false	arr[hg19] 9q34.11q34.12(132,239,271-133,754,099)x4	chr9:132239271-133754099
true	F16000981.OSCHP	4.0	Gain	11	p11.12	1279.45	54	3	LOC646813, OR4A5, OR4C46	1	OR4C46 (614273)	Cytoregions Not Set				false	arr[hg19] 11p11.12(50,296,501-51,575,951)x4	chr11:50296501-51575951
true	F16000981.OSCHP	4.0	Gain	12	q13.3	82.659	56	1	OS9	1	OS9 (609677)	Cytoregions Not Set				false	arr[hg19] 12q13.3q14.1(58,030,499-58,113,158)x4	chr12:58030499-58113158
true	F16000981.OSCHP	4.0	Gain	14	q32.12	143.687	24	1	GOLGA5	1	GOLGA5 (606918)	Cytoregions Not Set				false	arr[hg19] 14q32.12(93,229,218-93,372,905)x4	chr14:93229218-93372905
true	F16000981.OSCHP	4.0	Gain	17	q21.31	57.999	59	1	BRCA1	1	BRCA1 (113705)	Cytoregions Not Set				false	arr[hg19] 17q21.31(41,204,550-41,262,549)x4	chr17:41204550-41262549
true	F16000981.OSCHP	4.0	Gain	X	p11.1	353.905	22	0		0		Cytoregions Not Set				false	arr[hg19] Xp11.1(58,116,897-58,470,802)x4	chrX:58116897-58470802
true	F16000981.OSCHP	3.0	Gain	1	p36.32	295.499	40	7	PRDM16, ARHGEF16, MEGF6, MIR551A, TPRG1L, WRAP73, TP73	6	PRDM16 (605557), MEGF6 (604266), MIR551A (615148), TPRG1L (611460), WRAP73 (606040), TP73 (601990)	Cytoregions Not Set				false	arr[hg19] 1p36.32(3,294,221-3,589,720)x3	chr1:3294221-3589720
true	F16000981.OSCHP	3.0	Gain	3	p25.2	166.452	34	4	TSEN2, C3orf83, MKRN2, RAF1	3	TSEN2 (608753), MKRN2 (608426), RAF1 (164760)	Cytoregions Not Set				false	arr[hg19] 3p25.2(12,519,201-12,685,653)x3	chr3:12519201-12685653
true	F16000981.OSCHP	3.0	Gain	4	p16.3	314.79	35	7	WHSC1, SCARNA22, NELFA, MIR943, C4orf48, NAT8L, POLN	5	WHSC1 (602952), NELFA (606026), C4orf48 (614690), NAT8L (610647), POLN (610887)	Cytoregions Not Set				false	arr[hg19] 4p16.3(1,880,234-2,195,024)x3	chr4:1880234-2195024
true	F16000981.OSCHP	3.0	Gain	5	q35.2	263.6	18	7	SIMC1, KIAA1191, ARL10, NOP16, HIGD2A, CLTB, FAF2	2	NOP16 (612861), CLTB (118970)	Cytoregions Not Set				false	arr[hg19] 5q35.2(175,683,451-175,947,051)x3	chr5:175683451-175947051
