File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18009501.OSCHP	5.33	Gain	20	q13.12	290.064	65	4	ZMYND8, LOC101927377, LINC01754, NCOA3	2	ZMYND8 (615713), NCOA3 (601937)	Cytoregions Not Set				false	arr[hg19] 20q13.12(45,962,036-46,252,100)x5-6	chr20:45962036-46252100
H18009501.OSCHP	3.67	Gain	20	p12.1	107.167	64	2	MACROD2, LOC613266	1	MACROD2 (611567)	Cytoregions Not Set				false	arr[hg19] 20p12.1(15,917,430-16,024,597)x3-4	chr20:15917430-16024597
H18009501.OSCHP	3.67	Gain	20	q13.2	883.834	73	6	TSHZ2, LOC101927770, ZNF217, LOC105372672, SUMO1P1, BCAS1	3	TSHZ2 (614118), ZNF217 (602967), BCAS1 (602968)	Cytoregions Not Set				false	arr[hg19] 20q13.2(51,776,907-52,660,741)x3-4	chr20:51776907-52660741
H18009501.OSCHP	3.33	Gain	2	p25.3	28345.756	2108	220	FAM110C, SH3YL1, ACP1, ALKAL2, LINC01865, LINC01874, LINC01875, LOC105373352, TMEM18, LINC01115, LINC01939, LOC101060391, SNTG2, TPO, PXDN, MYT1L, MYT1L-AS1, LINC01250, EIPR1, TRAPPC12, ADI1, RNASEH1, RNASEH1-AS1, RPS7, COLEC11, ALLC, DCDC2C, LINC01304, LOC105373394, LINC01249, LINC01248, SOX11, LINC01810, LINC01105, MIR7158, LOC400940, LINC01247, LINC01246, MIR7515HG, MIR7515, LINC00487, NRIR, CMPK2, RSAD2, RNF144A-AS1, RNF144A, LOC101929452, LOC100506274, LOC101929551, LINC00298, LINC00299, LINC01814, ID2-AS1, ID2, KIDINS220, MBOAT2, ASAP2, ITGB1BP1, CPSF3, IAH1, ADAM17, YWHAQ, TAF1B, GRHL1, LOC101929882, KLF11, CYS1, RRM2, C2orf48, MIR4261, HPCAL1, ODC1, SNORA80B, LOC101929715, NOL10, RN7SL832P, ATP6V1C2, PDIA6, LINC01954, KCNF1, FLJ33534, C2orf50, PQLC3, ROCK2, LINC00570, E2F6, GREB1, MIR4429, NTSR2, LPIN1, MIR548S, MIR4262, MIR3681HG, MIR3681, TRIB2, MIR3125, LOC100506474, LINC00276, FAM84A, NBAS, DDX1, LINC01804, MYCNUT, MYCNOS, MYCN, GACAT3, FAM49A, RAD51AP2, VSNL1, SMC6, GEN1, MSGN1, KCNS3, RDH14, NT5C1B-RDH14, NT5C1B, LINC01376, MIR4757, OSR1, LINC00954, TTC32, WDR35, LOC101928222, MATN3, LAPTM4A, SDC1, PUM2, RHOB, HS1BP3-IT1, HS1BP3, GDF7, LDAH, APOB, TDRD15, LINC01822, LINC01884, KLHL29, ATAD2B, UBXN2A, MFSD2B, WDCP, FKBP1B, SF3B6, FAM228B, TP53I3, PFN4, FAM228A, ITSN2, NCOA1, PTRHD1, CENPO, ADCY3, DNAJC27, DNAJC27-AS1, EFR3B, POMC, LINC01381, DNMT3A, MIR1301, DTNB, ASXL2, KIF3C, RAB10, GAREM2, HADHA, HADHB, ADGRF3, SELENOI, DRC1, OTOF, C2orf70, CIB4, KCNK3, SLC35F6, CENPA, DPYSL5, MAPRE3, TMEM214, AGBL5-AS1, AGBL5, OST4, EMILIN1, KHK, CGREF1, ABHD1, PREB, PRR30, TCF23, SLC5A6, ATRAID, CAD, SLC30A3, DNAJC5G, TRIM54, UCN, MPV17, GTF3C2, GTF3C2-AS1, EIF2B4, SNX17, ZNF513, PPM1G, FTH1P3, NRBP1, KRTCAP3, IFT172, FNDC4, GCKR, C2orf16, ZNF512, CCDC121, GPN1, SUPT7L, SLC4A1AP, LINC01460, MRPL33, RBKS, BABAM2, BRE-AS1, MIR4263	122	FAM110C (611395), SH3YL1 (617314), ACP1 (171500), TMEM18 (613220), SNTG2 (608715), TPO (606765), PXDN (605158), MYT1L (613084), EIPR1 (608998), TRAPPC12 (614139), ADI1 (613400), RNASEH1 (604123), RPS7 (603658), COLEC11 (612502), SOX11 (600898), CMPK2 (611787), RSAD2 (607810), ID2 (600386), KIDINS220 (615759), MBOAT2 (611949), ASAP2 (603817), ITGB1BP1 (607153), CPSF3 (606029), ADAM17 (603639), YWHAQ (609009), TAF1B (604904), GRHL1 (609786), KLF11 (603301), RRM2 (180390), HPCAL1 (600207), ODC1 (165640), NOL10 (616197), PDIA6 (611099), KCNF1 (603787), ROCK2 (604002), E2F6 (602944), GREB1 (611736), NTSR2 (605538), LPIN1 (605518), TRIB2 (609462), FAM84A (611234), NBAS (608025), DDX1 (601257), MYCNUT (615968), MYCNOS (605374), MYCN (164840), GACAT3 (616132), VSNL1 (600817), SMC6 (609387), GEN1 (612449), MSGN1 (612209), KCNS3 (603888), RDH14 (616796), NT5C1B (610526), OSR1 (608891), WDR35 (613602), MATN3 (602109), SDC1 (186355), PUM2 (607205), RHOB (165370), HS1BP3 (609359), GDF7 (604651), LDAH (613570), APOB (107730), ATAD2B (615347), WDCP (616234), FKBP1B (600620), SF3B6 (607835), TP53I3 (605171), ITSN2 (604464), NCOA1 (602691), PTRHD1 (617342), CENPO (611504), ADCY3 (600291), DNAJC27 (613527), EFR3B (616797), POMC (176830), DNMT3A (602769), DTNB (602415), ASXL2 (612991), KIF3C (602845), RAB10 (612672), HADHA (600890), HADHB (143450), SELENOI (607915), DRC1 (615288), OTOF (603681), CIB4 (610646), KCNK3 (603220), CENPA (117139), DPYSL5 (608383), MAPRE3 (605788), TMEM214 (615301), AGBL5 (615900), EMILIN1 (130660), KHK (614058), CGREF1 (606137), ABHD1 (612195), PREB (606395), TCF23 (609635), SLC5A6 (604024), CAD (114010), SLC30A3 (602878), DNAJC5G (613946), TRIM54 (606474), UCN (600945), MPV17 (137960), GTF3C2 (604883), EIF2B4 (606687), SNX17 (605963), ZNF513 (613598), PPM1G (605119), NRBP1 (606010), IFT172 (607386), FNDC4 (611905), GCKR (600842), GPN1 (611479), SUPT7L (612762), SLC4A1AP (602655), MRPL33 (610059), RBKS (611132), BABAM2 (610497)	Cytoregions Not Set				false	arr[hg19] 2p25.3p23.2(21,493-28,367,249)x3-4	chr2:21493-28367249
H18009501.OSCHP	3.33	Gain	20	q13.33	1537.881	90	53	MIR1257, TAF4, MIR3195, LSM14B, PSMA7, SS18L1, MTG2, HRH3, OSBPL2, ADRM1, LAMA5, MIR4758, LAMA5-AS1, RPS21, CABLES2, RBBP8NL, GATA5, C20orf166-AS1, MIR1-1HG, MIR1-1, MIR133A2, SLCO4A1, SLCO4A1-AS1, NTSR1, LINC00659, MRGBP, OGFR-AS1, OGFR, COL9A3, TCFL5, DPH3P1, DIDO1, SNORA117, GID8, SLC17A9, BHLHE23, LINC01749, LINC00029, LINC01056, HAR1B, HAR1A, MIR124-3, YTHDF1, BIRC7, MIR3196, NKAIN4, FLJ16779, ARFGAP1, MIR4326, COL20A1, CHRNA4, LOC100130587, KCNQ2	30	TAF4 (601796), PSMA7 (606607), SS18L1 (606472), MTG2 (610919), HRH3 (604525), OSBPL2 (606731), ADRM1 (610650), LAMA5 (601033), RPS21 (180477), GATA5 (611496), MIR1-1 (609326), MIR133A2 (610255), SLCO4A1 (612436), NTSR1 (162651), MRGBP (611157), OGFR (606459), COL9A3 (120270), TCFL5 (604745), DIDO1 (604140), GID8 (611625), SLC17A9 (612107), BHLHE23 (609331), HAR1B (610557), HAR1A (610556), YTHDF1 (616529), BIRC7 (605737), NKAIN4 (612873), ARFGAP1 (608377), CHRNA4 (118504), KCNQ2 (602235)	Cytoregions Not Set				false	arr[hg19] 20q13.33(60,527,539-62,065,420)x3-4	chr20:60527539-62065420
H18009501.OSCHP	3.33	Gain	20	q13.12	767.94	65	5	NCOA3, SULF2, LINC01522, LINC01523, LINC00494	2	NCOA3 (601937), SULF2 (610013)	Cytoregions Not Set				false	arr[hg19] 20q13.12q13.13(46,256,423-47,024,363)x3-4	chr20:46256423-47024363
H18009501.OSCHP	3.33	Gain	8	q12.1	271.659	19	2	RAB2A, CHD7	2	RAB2A (179509), CHD7 (608892)	Cytoregions Not Set				false	arr[hg19] 8q12.1q12.2(61,450,893-61,722,552)x3-4	chr8:61450893-61722552
H18009501.OSCHP	3.33	Gain	2	q11.2	548.037	39	2	RFX8, MAP4K4	1	MAP4K4 (604666)	Cytoregions Not Set				false	arr[hg19] 2q11.2(102,037,854-102,585,891)x3-4	chr2:102037854-102585891
H18009501.OSCHP	3.33	Gain	20	q13.33	603.978	63	34	RTEL1, RTEL1-TNFRSF6B, TNFRSF6B, ARFRP1, ZGPAT, LIME1, SLC2A4RG, ZBTB46, ZBTB46-AS1, ABHD16B, TPD52L2, DNAJC5, MIR941-1, MIR941-3, MIR941-5, MIR941-4, MIR941-2, UCKL1, MIR1914, MIR647, UCKL1-AS1, ZNF512B, SAMD10, PRPF6, C20orf204, SOX18, TCEA2, RGS19, MIR6813, OPRL1, LKAAEAR1, NPBWR2, MYT1, PCMTD2	16	RTEL1 (608833), TNFRSF6B (603361), ARFRP1 (604699), LIME1 (609809), SLC2A4RG (609493), ZBTB46 (614639), TPD52L2 (603747), DNAJC5 (611203), UCKL1 (610866), PRPF6 (613979), SOX18 (601618), TCEA2 (604784), RGS19 (605071), OPRL1 (602548), NPBWR2 (600731), MYT1 (600379)	Cytoregions Not Set				false	arr[hg19] 20q13.33(62,308,485-62,912,463)x3-4	chr20:62308485-62912463
H18009501.OSCHP	3.33	Gain	20	q12	118.2	23	3	TOP1, PLCG1-AS1, PLCG1	2	TOP1 (126420), PLCG1 (172420)	Cytoregions Not Set				false	arr[hg19] 20q12(39,655,963-39,774,163)x3-4	chr20:39655963-39774163
