Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
true	F16001097.OSCHP	10.0	Gain	3	p21.1	119.42	24	1	PBRM1	1	PBRM1 (606083)	Cytoregions Not Set				false	arr[hg19] 3p21.1(52,589,839-52,709,259)x10	chr3:52589839-52709259
true	F16001097.OSCHP	9.0	Gain	5	q35.2	116.731	24	1	NSD1	1	NSD1 (606681)	Cytoregions Not Set				false	arr[hg19] 5q35.2q35.3(176,590,813-176,707,544)x9	chr5:176590813-176707544
true	F16001097.OSCHP	8.0	Gain	6	q27	108.36	22	1	MLLT4	1	MLLT4 (159559)	Cytoregions Not Set				false	arr[hg19] 6q27(168,243,358-168,351,718)x8	chr6:168243358-168351718
true	F16001097.OSCHP	8.0	Gain	15	q15.1	90.989	26	1	CASC5	1	CASC5 (609173)	Cytoregions Not Set				false	arr[hg19] 15q15.1(40,871,211-40,962,200)x8	chr15:40871211-40962200
true	F16001097.OSCHP	7.0	Gain	8	p21.3	251.559	31	3	PIWIL2, SLC39A14, PPP3CC	3	PIWIL2 (610312), SLC39A14 (608736), PPP3CC (114107)	Cytoregions Not Set				false	arr[hg19] 8p21.3(22,142,197-22,393,756)x7	chr8:22142197-22393756
true	F16001097.OSCHP	7.0	Gain	11	q23.3	84.698	35	1	CBL	1	CBL (165360)	Cytoregions Not Set				false	arr[hg19] 11q23.3(119,085,782-119,170,480)x7	chr11:119085782-119170480
true	F16001097.OSCHP	6.0	Gain	1	p36.22	129.712	61	3	MTOR, MTOR-AS1, ANGPTL7	1	MTOR (601231)	Cytoregions Not Set				false	arr[hg19] 1p36.22(11,177,170-11,306,882)x6	chr1:11177170-11306882
true	F16001097.OSCHP	6.0	Gain	9	q34.11	1028.761	116	9	FNBP1, GPR107, NCS1, ASS1, LOC100272217, FUBP3, PRDM12, EXOSC2, ABL1	6	FNBP1 (606191), NCS1 (603315), ASS1 (603470), FUBP3 (603536), EXOSC2 (602238), ABL1 (189980)	Cytoregions Not Set				false	arr[hg19] 9q34.11q34.12(132,664,381-133,693,142)x6	chr9:132664381-133693142
true	F16001097.OSCHP	6.0	Gain	10	q23.2	142.895	58	1	BMPR1A	1	BMPR1A (601299)	Cytoregions Not Set				false	arr[hg19] 10q23.2(88,539,660-88,682,555)x6	chr10:88539660-88682555
true	F16001097.OSCHP	6.0	Gain	11	q13.5	164.353	54	1	C11orf30	1	C11orf30 (608574)	Cytoregions Not Set				false	arr[hg19] 11q13.5(76,108,795-76,273,148)x6	chr11:76108795-76273148
true	F16001097.OSCHP	6.0	Gain	12	q13.13	138.224	28	0		0		Cytoregions Not Set				false	arr[hg19] 12q13.13(54,175,872-54,314,096)x6	chr12:54175872-54314096
true	F16001097.OSCHP	6.0	Gain	14	q32.12	143.687	24	1	GOLGA5	1	GOLGA5 (606918)	Cytoregions Not Set				false	arr[hg19] 14q32.12(93,229,218-93,372,905)x6	chr14:93229218-93372905
true	F16001097.OSCHP	6.0	Gain	17	q21.31	60.623	61	1	BRCA1	1	BRCA1 (113705)	Cytoregions Not Set				false	arr[hg19] 17q21.31(41,204,550-41,265,173)x6	chr17:41204550-41265173
true	F16001097.OSCHP	6.0	Gain	19	q13.42	288.552	19	8	NLRP9, RFPL4A, RFPL4AL1, NLRP11, NLRP4, NLRP13, NLRP8, NLRP5	7	NLRP9 (609663), RFPL4A (612601), NLRP11 (609664), NLRP4 (609645), NLRP13 (609660), NLRP8 (609659), NLRP5 (609658)	Cytoregions Not Set				false	arr[hg19] 19q13.42q13.43(56,231,143-56,519,695)x6	chr19:56231143-56519695
true	F16001097.OSCHP	5.0	Gain	11	q23.3	141.088	28	1	ARHGEF12	1	ARHGEF12 (604763)	Cytoregions Not Set				false	arr[hg19] 11q23.3(120,223,398-120,364,486)x5	chr11:120223398-120364486
true	F16001097.OSCHP	5.0	Gain	15	q24.1	202.859	30	4	ARID3B, CLK3, EDC3, CYP1A1	4	ARID3B (612457), CLK3 (602990), EDC3 (609842), CYP1A1 (108330)	Cytoregions Not Set				false	arr[hg19] 15q24.1(74,813,333-75,016,192)x5	chr15:74813333-75016192
true	F16001097.OSCHP	5.0	Gain	20	q13.12	100.773	40	1	NCOA3	1	NCOA3 (601937)	Cytoregions Not Set				false	arr[hg19] 20q13.12(46,180,727-46,281,500)x5	chr20:46180727-46281500
true	F16001097.OSCHP	4.0	Gain	3	p21.31	983.984	89	15	PRSS42, MYL3, PTH1R, CCDC12, NBEAL2, NRADDP, SETD2, KIF9-AS1, KIF9, KLHL18, PTPN23, SCAP, ELP6, CSPG5, SMARCC1	10	MYL3 (160790), PTH1R (168468), NBEAL2 (614169), SETD2 (612778), KIF9 (607910), PTPN23 (606584), SCAP (601510), ELP6 (615020), CSPG5 (606775), SMARCC1 (601732)	Cytoregions Not Set				false	arr[hg19] 3p21.31(46,811,593-47,795,577)x4	chr3:46811593-47795577
true	F16001097.OSCHP	4.0	Gain	3	q21.3	355.565	34	5	EEFSEC, DNAJB8, DNAJB8-AS1, GATA2, LOC90246	3	EEFSEC (607695), DNAJB8 (611337), GATA2 (137295)	Cytoregions Not Set				false	arr[hg19] 3q21.3(127,888,066-128,243,631)x4	chr3:127888066-128243631
true	F16001097.OSCHP	4.0	Gain	5	p12	282.949	22	4	NIM1, HMGCS1, CCL28, C5orf28	2	HMGCS1 (142940), CCL28 (605240)	Cytoregions Not Set				false	arr[hg19] 5p12(43,199,866-43,482,815)x4	chr5:43199866-43482815
true	F16001097.OSCHP	4.0	Gain	8	p21.1	128.288	21	3	CCDC25, ESCO2, PBK	2	ESCO2 (609353), PBK (611210)	Cytoregions Not Set				false	arr[hg19] 8p21.1(27,574,165-27,702,453)x4	chr8:27574165-27702453
true	F16001097.OSCHP	4.0	Gain	8	q11.1	885.166	58	1	LINC00293	1	LINC00293 (609543)	Cytoregions Not Set				false	arr[hg19] 8q11.1(46,896,971-47,782,137)x4	chr8:46896971-47782137
true	F16001097.OSCHP	4.0	Gain	8	q24.21	35.912	52	0		0		Cytoregions Not Set				false	arr[hg19] 8q24.21(128,701,787-128,737,699)x4	chr8:128701787-128737699
true	F16001097.OSCHP	4.0	Gain	8	q24.3	321.005	65	1	PTK2	1	PTK2 (600758)	Cytoregions Not Set				false	arr[hg19] 8q24.3(141,679,066-142,000,071)x4	chr8:141679066-142000071
true	F16001097.OSCHP	4.0	Gain	9	q33.3	517.892	33	14	GARNL3, SLC2A8, ZNF79, RPL12, SNORA65, LRSAM1, FAM129B, STXBP1, MIR3911, C9orf117, PTRH1, TTC16, TOR2A, SH2D3C	8	SLC2A8 (605245), ZNF79 (194552), RPL12 (180475), LRSAM1 (610933), FAM129B (614045), STXBP1 (602926), TOR2A (608052), SH2D3C (604722)	Cytoregions Not Set				false	arr[hg19] 9q33.3q34.11(130,009,785-130,527,677)x4	chr9:130009785-130527677
