File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18011789.OSCHP	4.0	Gain	11	q23.3	5674.236	465	80	ABCG4, NLRX1, PDZD3, CCDC153, SNORD150, CBL, MCAM, MIR6756, RNF26, C1QTNF5, MFRP, USP2, USP2-AS1, THY1, NECTIN1, LOC102724301, TRIM29, OAF, POU2F3, LOC649133, TMEM136, ARHGEF12, GRIK4, LOC105369532, LOC101929227, LOC101929208, TBCEL, TECTA, SC5D, SORL1, MIR100HG, MIR125B1, BLID, MIRLET7A2, MIR100, UBASH3B, CRTAM, C11orf63, BSX, LOC341056, HSPA8, CLMP, MIR4493, GRAMD1B, SCN3B, ZNF202, OR6X1, OR6M1, TMEM225, OR8D4, OR4D5, OR6T1, OR10S1, OR10G4, OR10G9, OR10G8, OR10G7, VWA5A, OR8G2P, OR8G1, OR8G5, OR8D1, OR8D2, OR8B2, OR8B3, OR8B4, OR8B8, OR8B12, OR8A1, PANX3, TBRG1, SIAE, MIR7641-2, SPA17, NRGN, VSIG2, ESAM, LOC101929340, MSANTD2, LOC100507283	39	ABCG4 (607784), NLRX1 (611947), PDZD3 (607146), CBL (165360), MCAM (155735), RNF26 (606130), MFRP (606227), C1QTNF5 (608752), USP2 (604725), THY1 (188230), NECTIN1 (600644), TRIM29 (610658), POU2F3 (607394), ARHGEF12 (604763), GRIK4 (600282), TBCEL (610451), TECTA (602574), SC5D (602286), SORL1 (602005), MIR100HG (615965), MIR125B1 (610104), BLID (608853), MIRLET7A2 (612142), MIR100 (613186), UBASH3B (609201), CRTAM (612597), BSX (611074), HSPA8 (600816), CLMP (611693), SCN3B (608214), ZNF202 (603430), VWA5A (602929), PANX3 (608422), TBRG1 (610614), SIAE (610079), SPA17 (608621), NRGN (602350), VSIG2 (606011), ESAM (614281)	Cytoregions Not Set				false	arr[hg19] 11q23.3q24.2(119,029,848-124,704,084)x4	chr11:119029848-124704084
H18011789.OSCHP	4.0	Gain	8	q23.3	1416.423	658	2	CSMD3, MIR2053	1	CSMD3 (608399)	Cytoregions Not Set				false	arr[hg19] 8q23.3(113,249,551-114,665,974)x4	chr8:113249551-114665974
H18011789.OSCHP	4.0	Gain	14	q31.3	5813.521	415	68	FOXN3, FOXN3-AS1, FOXN3-AS2, EFCAB11, TDP1, KCNK13, PSMC1, NRDE2, CALM1, LINC02317, LINC00642, LOC105370619, TTC7B, LOC101928909, LOC105370622, RPS6KA5, C14orf159, SNORA11B, GPR68, CCDC88C, PPP4R3A, CATSPERB, TC2N, FBLN5, TRIP11, ATXN3, NDUFB1, CPSF2, SLC24A4, RIN3, LGMN, GOLGA5, LINC02287, CHGA, ITPK1, ITPK1-AS1, MOAP1, TMEM251, GON7, UBR7, BTBD7, UNC79, COX8C, PRIMA1, FAM181A-AS1, FAM181A, ASB2, MIR4506, CCDC197, OTUB2, DDX24, IFI27L1, IFI27, IFI27L2, PPP4R4, SERPINA10, SERPINA6, SERPINA2, SERPINA1, SERPINA11, SERPINA9, SERPINA12, SERPINA4, SERPINA5, SERPINA3, SERPINA13P, GSC, DIGIT	44	FOXN3 (602628), TDP1 (607198), KCNK13 (607367), PSMC1 (602706), CALM1 (114180), RPS6KA5 (603607), GPR68 (601404), CCDC88C (611204), PPP4R3A (610351), CATSPERB (611169), FBLN5 (604580), TRIP11 (604505), ATXN3 (607047), NDUFB1 (603837), CPSF2 (606028), SLC24A4 (609840), RIN3 (610223), LGMN (602620), GOLGA5 (606918), CHGA (118910), ITPK1 (601838), MOAP1 (609485), GON7 (617436), UBR7 (613816), BTBD7 (610386), UNC79 (616884), COX8C (616855), PRIMA1 (613851), ASB2 (605759), OTUB2 (608338), DDX24 (606181), IFI27L1 (611320), IFI27 (600009), IFI27L2 (611319), PPP4R4 (616790), SERPINA10 (605271), SERPINA6 (122500), SERPINA1 (107400), SERPINA9 (615677), SERPINA12 (617471), SERPINA4 (147935), SERPINA5 (601841), SERPINA3 (107280), GSC (138890)	Cytoregions Not Set				false	arr[hg19] 14q31.3q32.13(89,721,977-95,535,498)x4	chr14:89721977-95535498
H18011789.OSCHP	4.0	Gain	10	q11.22	726.447	47	13	GPRIN2, NPY4R, NPY4R2, LINC00842, HNRNPA1P33, ANXA8, FAM25C, FAM25G, AGAP9, BMS1P6, FAM35DP, ANTXRLP1, ANTXRL	2	GPRIN2 (611240), NPY4R (601790)	Cytoregions Not Set				false	arr[hg19] 10q11.22(46,976,244-47,702,691)x4	chr10:46976244-47702691
H18011789.OSCHP	3.0	Gain	11	q22.3	100.789	18	3	ACAT1, NPAT, ATM	3	ACAT1 (607809), NPAT (601448), ATM (607585)	Cytoregions Not Set				false	arr[hg19] 11q22.3(108,014,798-108,115,587)x3	chr11:108014798-108115587
H18011789.OSCHP	3.0	Gain	11	p11.2	252.028	18	9	ATG13, ARHGAP1, ZNF408, F2, CKAP5, MIR5582, SNORD67, LRP4-AS1, LRP4	6	ATG13 (615088), ARHGAP1 (602732), ZNF408 (616454), F2 (176930), CKAP5 (611142), LRP4 (604270)	Cytoregions Not Set				false	arr[hg19] 11p11.2(46,685,583-46,937,611)x3	chr11:46685583-46937611
H18011789.OSCHP	3.0	Gain	11	q22.3	643.946	108	5	ATM, C11orf65, KDELC2, EXPH5, DDX10	3	ATM (607585), EXPH5 (612878), DDX10 (601235)	Cytoregions Not Set				false	arr[hg19] 11q22.3(108,170,505-108,814,451)x3	chr11:108170505-108814451
H18011789.OSCHP	3.0	Gain	8	q22.1	1310.58	88	10	C8orf87, LINC00535, FAM92A, RBM12B, RBM12B-AS1, TMEM67, MIR378D2, PDP1, CDH17, GEM	5	FAM92A (617273), TMEM67 (609884), PDP1 (605993), CDH17 (603017), GEM (600164)	Cytoregions Not Set				false	arr[hg19] 8q22.1(94,060,338-95,370,918)x3	chr8:94060338-95370918
H18011789.OSCHP	3.0	Gain	11	q22.3	316.402	22	3	CASP12, LOC643733, CASP4	2	CASP12 (608633), CASP4 (602664)	Cytoregions Not Set				false	arr[hg19] 11q22.3(104,532,835-104,849,237)x3	chr11:104532835-104849237
H18011789.OSCHP	3.0	Gain	11	q22.1	347.85	24	1	CNTN5	1	CNTN5 (607219)	Cytoregions Not Set				false	arr[hg19] 11q22.1(99,658,636-100,006,486)x3	chr11:99658636-100006486
H18011789.OSCHP	3.0	Gain	8	p23.2	33.239	35	1	CSMD1	1	CSMD1 (608397)	Cytoregions Not Set				false	arr[hg19] 8p23.2(3,014,141-3,047,380)x3	chr8:3014141-3047380
