File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H18011982.OSCHP	4.0	Gain	9	q22.1	427.151	33	2	SPIN1, NXNL2	2	SPIN1 (609936), NXNL2 (615299)	Cytoregions Not Set				false	arr[hg19] 9q22.1(90,772,862-91,200,013)x4	chr9:90772862-91200013
H18011982.OSCHP	3.0	Gain	1	p21.2	254.075	18	8	MFSD14A, SASS6, TRMT13, LRRC39, DBT, RTCA-AS1, RTCA, MIR553	3	SASS6 (609321), DBT (248610), RTCA (611286)	Cytoregions Not Set				false	arr[hg19] 1p21.2(100,543,961-100,798,036)x3	chr1:100543961-100798036
H18011982.OSCHP	3.0	Gain	1	q23.2	278.099	19	11	LINC01133, PIGM, KCNJ10, KCNJ9, IGSF8, ATP1A2, ATP1A4, CASQ1, LOC729867, PEA15, DCAF8	9	PIGM (610273), KCNJ10 (602208), KCNJ9 (600932), IGSF8 (606644), ATP1A2 (182340), ATP1A4 (607321), CASQ1 (114250), PEA15 (603434), DCAF8 (615820)	Cytoregions Not Set				false	arr[hg19] 1q23.2(159,938,870-160,216,969)x3	chr1:159938870-160216969
H18011982.OSCHP	3.0	Gain	12	p11.1	248.323	18	1	ALG10	1	ALG10 (603313)	Cytoregions Not Set				false	arr[hg19] 12p11.1(33,982,161-34,230,484)x3	chr12:33982161-34230484
H18011982.OSCHP	3.0	Gain	12	p13.33	88.207	19	2	KDM5A, CCDC77	1	KDM5A (180202)	Cytoregions Not Set				false	arr[hg19] 12p13.33(417,632-505,839)x3	chr12:417632-505839
H18011982.OSCHP	3.0	Gain	12	p13.33	34.809	18	1	WNK1	1	WNK1 (605232)	Cytoregions Not Set				false	arr[hg19] 12p13.33(868,827-903,636)x3	chr12:868827-903636
H18011982.OSCHP	3.0	Gain	16	q12.2	286.199	20	3	CHD9, LOC643802, LOC102723373	1	CHD9 (616936)	Cytoregions Not Set				false	arr[hg19] 16q12.2(53,154,587-53,440,786)x3	chr16:53154587-53440786
H18011982.OSCHP	3.0	Gain	5	q21.1	317.999	22	1	LINC02113	0		Cytoregions Not Set				false	arr[hg19] 5q21.1(98,843,090-99,161,089)x3	chr5:98843090-99161089
H18011982.OSCHP	3.0	Gain	6	p12.1	1265.114	84	10	GCLC, LOC101927136, LINC01564, KLHL31, LRRC1, LOC101927189, MLIP-IT1, MLIP, MLIP-AS1, TINAG	5	GCLC (606857), KLHL31 (610749), LRRC1 (608195), MLIP (614106), TINAG (606749)	Cytoregions Not Set				false	arr[hg19] 6p12.1(53,258,714-54,523,828)x3	chr6:53258714-54523828
H18011982.OSCHP	3.0	Gain	9	p13.3	2503.052	204	59	LOC730098, CCL19, CCL21, FAM205A, FAM205BP, FAM205C, PHF24, DNAJB5-AS1, DNAJB5, C9orf131, VCP, FANCG, PIGO, STOML2, FAM214B, UNC13B, ATP8B5P, RUSC2, FAM166B, TESK1, MIR4667, CD72, LOC101926948, SIT1, RMRP, CCDC107, ARHGEF39, CA9, TPM2, TLN1, MIR6852, CREB3, MIR6853, GBA2, RGP1, MSMP, NPR2, SPAG8, HINT2, FAM221B, TMEM8B, LINC00950, OR13J1, HRCT1, SPAAR, OR2S2, RECK, GLIPR2, CCIN, CLTA, GNE, RNF38, MELK, MIR4475, PAX5, MIR4540, MIR4476, EBLN3P, ZCCHC7	32	CCL19 (602227), CCL21 (602737), DNAJB5 (611328), VCP (601023), FANCG (602956), PIGO (614730), STOML2 (608292), UNC13B (605836), RUSC2 (611053), TESK1 (601782), CD72 (107272), SIT1 (604964), RMRP (157660), CA9 (603179), TPM2 (190990), TLN1 (186745), CREB3 (606443), GBA2 (609471), RGP1 (615742), MSMP (612191), NPR2 (108961), SPAG8 (605731), HINT2 (609997), TMEM8B (616888), RECK (605227), GLIPR2 (607141), CCIN (603960), CLTA (118960), GNE (603824), RNF38 (612488), MELK (607025), PAX5 (167414)	Cytoregions Not Set				false	arr[hg19] 9p13.3p13.2(34,664,487-37,167,539)x3	chr9:34664487-37167539
